Wilaya_Code,Wilaya_Name,Ble_Dur_Sup_Emblavee_ha,Ble_Dur_Sup_Recoltee_ha,Ble_Dur_Taux_Recolte_%,Ble_Dur_Prod_qx,Ble_Dur_Rdt_qx_ha,Ble_Tendre_Sup_Emblavee_ha,Ble_Tendre_Sup_Recoltee_ha,Ble_Tendre_Taux_Recolte_%,Ble_Tendre_Prod_qx,Ble_Tendre_Rdt_qx_ha,Orge_Sup_Emblavee_ha,Orge_Sup_Recoltee_ha,Orge_Taux_Recolte_%,Orge_Prod_qx,Orge_Rdt_qx_ha,Avoine_Sup_Emblavee_ha,Avoine_Sup_Recoltee_ha,Avoine_Taux_Recolte_%,Avoine_Prod_qx,Avoine_Rdt_qx_ha,Triticale_Sup_Emblavee_ha,Triticale_Sup_Recoltee_ha,Triticale_Taux_Recolte_%,Triticale_Prod_qx,Triticale_Rdt_qx_ha,Total_Cereales_Hiver_Sup_Emblavee_ha,Total_Cereales_Hiver_Sup_Recoltee_ha,Total_Cereales_Hiver_Taux_Recolte_%,Total_Cereales_Hiver_Prod_qx,Total_Cereales_Hiver_Rdt_qx_ha
14,TIARET,135000,121667,90.1,1904000,15.6,65000,48000,73.8,500000,10.4,140000,106212,75.9,1115200,10.5,10000,8080,80.8,80800,10.0,0,0,0.0,0,0.0,350000,283959,81.1,3600000,12.7
15,TIZI-OUZOU,6235,6174,99.0,158851,25.7,52,52,100.0,1532,29.5,300,297,99.0,5027,16.9,96,87,90.6,1568,18.0,0,0,0.0,0,0.0,6683,6610,98.9,166978,25.3
16,ALGER,1844,1824,98.9,51969,28.5,77,77,100.0,2456,32.0,304,264,86.8,4971,18.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2225,2165,97.3,59396,27.4
17,DJELFA,18000,3400,18.9,84700,24.9,400,140,35.0,1400,10.0,71200,13420,18.8,220700,16.4,1500,840,56.0,16500,19.6,0,0,0.0,0,0.0,91100,17800,19.5,323300,18.2
18,JIJEL,625,625,100.0,15553,24.9,0,0,0.0,0,0.0,155,155,100.0,2316,14.9,0,0,0.0,0,0.0,0,0,0.0,0,0.0,780,780,100.0,17869,22.9
19,SETIF,122954,70292,57.2,660500,9.4,18544,4000,21.6,26730,6.7,46922,13796,29.4,104020,7.5,7595,1574,20.7,8020,5.1,210,60,28.6,350,5.8,196225,89722,45.7,799620,8.9
20,SAIDA,27582,22944,83.2,283057,12.3,42613,35125,82.4,322979,9.2,41768,35830,85.8,373166,10.4,4494,3793,84.4,31899,8.4,0,0,0.0,0,0.0,116457,97692,83.9,1011101,10.3
21,SKIKDA,26239,25960,98.9,570548,22.0,3604,3604,100.0,68476,19.0,5654,5603,99.1,117663,21.0,737,737,100.0,7370,10.0,0,0,0.0,0,0.0,36234,35904,99.1,764057,21.3
22,S.B.ABBES,48360,46037,95.2,523524,11.4,45240,40485,89.5,342435,8.5,72600,67537,93.0,686646,10.2,8100,6837,84.4,52690,7.7,0,0,0.0,0,0.0,174300,160896,92.3,1605295,10.0
23,ANNABA,12355,12353,100.0,409622,33.2,923,915,99.1,35130,38.4,1099,1079,98.2,34538,32.0,53,53,100.0,1490,28.1,0,0,0.0,0,0.0,14430,14400,99.8,480780,33.4
24,GUELMA,63037,59964,95.1,1077332,18.0,11780,10823,91.9,196195,18.1,9840,8041,81.7,128231,15.9,103,103,100.0,1500,14.6,0,0,0.0,0,0.0,84760,78931,93.1,1403258,17.8
25,CONSTANTINE,52380,50550,96.5,763978,15.1,20462,19787,96.7,253540,12.8,6680,6540,97.9,78777,12.0,1070,1040,97.2,13008,12.5,0,0,0.0,0,0.0,80592,77917,96.7,1109303,14.2
26,MEDEA,70207,60131,85.6,990477,16.5,9376,7579,80.8,126405,16.7,35950,25150,70.0,416179,16.5,2989,2989,100.0,35575,11.9,0,0,0.0,0,0.0,118522,95848,80.9,1568636,16.4
27,MOSTAGANEM,5300,5265,99.3,88212,16.8,15000,14611,97.4,243364,16.7,26771,23641,88.3,401897,17.0,1929,1929,100.0,18320,9.5,0,0,0.0,0,0.0,49000,45446,92.7,751793,16.5
28,M'SILA,16215,7470,46.1,171300,22.9,1618,1010,62.4,21100,20.9,56747,11720,20.7,200500,17.1,670,300,44.8,4900,16.3,0,0,0.0,0,0.0,75250,20500,27.2,397800,19.4
29,MASCARA,30200,17165,56.8,178000,10.4,42900,29645,69.1,298700,10.1,64000,51000,79.7,519100,10.2,7000,5460,78.0,47200,8.6,0,0,0.0,0,0.0,144100,103270,71.7,1043000,10.1
30,OUARGLA,1755,1755,100.0,64486,36.8,15,15,100.0,375,25.0,110,110,100.0,3748,34.2,15,0,0.0,0,0.0,0,0,0.0,0,0.0,1894,1879,99.2,68609,36.5
31,ORAN,9899,9479,95.8,88648,9.4,2393,1638,68.4,12873,7.9,40094,34570,86.2,313238,9.1,1151,735,63.9,5435,7.4,0,0,0.0,0,0.0,53537,46422,86.7,420194,9.1
32,EL-BAYADH,2494,522,20.9,11125,21.3,1005,282,28.1,6879,24.4,9596,2004,20.9,31719,15.8,299,46,15.4,1101,23.9,0,0,0.0,0,0.0,13394,2854,21.3,50824,17.8
33,ILLIZI,4,4,100.0,108,27.7,23,23,100.0,646,28.5,12,12,100.0,326,27.8,2,2,100.0,53,26.5,0,0,0.0,0,0.0,40,40,100.0,1132,28.1
34,B.B.ARRERIDJ,62465,7495,12.0,59000,7.9,6410,130,2.0,1800,13.8,13235,743,5.6,3730,5.0,590,68,11.5,1085,16.0,0,0,0.0,0,0.0,82700,8436,10.2,65615,7.8
35,BOUMERDES,3530,3525,99.9,100463,28.5,702,702,100.0,21060,30.0,247,233,94.3,3728,16.0,214,187,87.4,2618,14.0,0,0,0.0,0,0.0,4693,4647,99.0,127869,27.5
36,EL-TARF,22000,21580,98.1,496340,23.0,1120,1120,100.0,24280,21.7,3550,3550,100.0,56800,16.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,26670,26250,98.4,577420,22.0
37,TINDOUF,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0
38,TISSEMSILT,51800,44453,85.8,648100,14.6,4900,4801,98.0,65936,13.7,17500,13593,77.7,171540,12.6,1700,1663,97.8,19033,11.4,0,0,0.0,0,0.0,75900,64509,85.0,904609,14.0
39,EL-OUED,12000,12000,100.0,504000,42.0,0,0,0.0,0,0.0,2000,1650,82.5,66000,40.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,14000,13650,97.5,570000,41.8
40,KHENCHELA,61700,31628,51.3,520786,16.5,7800,5644,72.4,95816,17.0,50700,21149,41.7,191141,9.0,100,30,30.0,600,20.0,0,0,0.0,0,0.0,120300,58451,48.6,808343,13.8
41,SOUK-AHRAS,75000,46492,62.0,287182,6.2,30000,17758,59.2,71924,4.1,30000,14382,47.9,62538,4.3,2000,358,17.9,2195,6.1,0,0,0.0,0,0.0,137000,78990,57.7,423839,5.4
42,TIPAZA,13392,12783,95.5,354581,27.7,2533,2414,95.3,73993,30.7,1793,1710,95.4,33107,19.4,60,60,100.0,900,15.0,0,0,0.0,0,0.0,17778,16967,95.4,462581,27.3
43,MILA,64968,44278,68.2,1024232,23.1,19093,8103,42.4,181961,22.5,23433,8803,37.6,110691,12.6,4466,1060,23.7,12804,12.1,0,0,0.0,0,0.0,111960,62244,55.6,1329688,21.4
44,AIN-DEFLA,57300,53979,94.2,1150000,21.3,2045,1980,96.8,36001,18.2,17435,16525,94.8,263012,15.9,1620,1453,89.7,20000,13.8,0,0,0.0,0,0.0,78400,73937,94.3,1469013,19.9
45,NAAMA,67,67,100.0,1875,28.0,35,35,100.0,826,23.6,1645,1645,100.0,22235,13.5,166,166,100.0,1751,10.5,0,0,0.0,0,0.0,1913,1913,100.0,26687,14.0
46,A.TEMOUCHENT,50640,48940,96.6,877190,17.9,12740,12030,94.4,168500,14.0,48100,45628,94.9,723720,15.9,3280,2710,82.6,32370,11.9,0,0,0.0,0,0.0,114760,109308,95.2,1801780,16.5
47,GHARDAIA,3789,3789,100.0,156550,41.3,0,0,0.0,0,0.0,380,380,100.0,13588,35.8,0,0,0.0,0,0.0,0,0,0.0,0,0.0,4169,4169,100.0,170138,40.8
48,RELIZANE,73802,66709,90.4,1018824,15.3,28443,24285,85.4,297666,12.3,37148,30001,80.8,396713,13.2,7909,6399,80.9,70344,11.0,0,0,0.0,0,0.0,147302,127393,86.5,1783547,14.0
TOTAL,ALGERIE,1602692,1175622,73.4,19909570,16.9,515777,361794,70.1,4455460,12.3,1303149,773063,59.3,9696964,12.5,87816,60529,68.9,640175,10.6,210,60,28.6,350,5.8,3509644,2371067,67.6,34702520,14.6
