0,1,2,3,4,5,6,7,8,9,10,11,12
27 MOSTAGANEM,5 448,"28,5",0,"0,0",4 846,"25,4",1 254,"6,6",7 557,"39,6",19 105,100
28 M'SILA,10 319,"45,7",0,"0,0",0,"0,0",500,"2,2",11 781,"52,1",22 600,100
29 MASCARA,13 508,"56,3",0,"0,0",4 819,"20,1",590,"2,5",5 070,"21,1",23 988,100
30 OUARGLA,760,"3,3",22 094,"95,4",31,"0,1",1,"0,0",273,"1,2",23 158,100
31 ORAN,7 282,"68,2",0,"0,0",253,"2,4",343,"3,2",2 794,"26,2",10 672,100
32 EL-BAYADH,1 086,"37,9",477,"16,7",0,"0,0",77,"2,7",1 224,"42,7",2 864,100
33 ILLIZI,135,"8,3",1 254,77,129,"7,9",21,"1,3",83,"5,1",1 622,100
34 B.B.ARRERIDJ,25 890,"79,6",0,"0,0",0,"0,0",2 140,"6,6",4 497,"13,8",32 527,100
35 BOUMERDES,8 274,"59,7",0,"0,0",2 178,"15,7",950,"6,9",2 455,"17,7",13 857,100
36 EL-TARF,4 856,"52,6",0,"0,0",2 151,"23,3",121,"1,3",2 103,"22,8",9 230,100
37 TINDOUF,129,"22,3",434,"75,1",0,"0,0",10,"1,7",5,"0,9",578,100
38 TISSEMSILT,7 749,"49,4",0,"0,0",0,"0,0",778,"5,0",7 152,"45,6",15 679,100
39 EL-OUED,3 100,"7,6",37 070,"90,4",25,"0,1",0,"0,0",812,"2,0",41 007,100
40 KHENCHELA,7 521,"35,1",790,"3,7",0,"0,0",1 048,"4,9",12 047,"56,3",21 405,100
41 SOUK-AHRAS,8 087,"44,3",0,"0,0",8,"0,0",352,"1,9",9 792,"53,7",18 239,100
42 TIPAZA,2 739,"19,0",0,"0,0",4 207,"29,2",582,"4,0",6 868,"47,7",14 396,100
43 MILA,8 967,"80,3",0,"0,0",3,"0,0",212,"1,9",1 986,"17,8",11 167,100
44 AIN-DEFLA,7 450,"35,4",0,"0,0",1 615,"7,7",543,"2,6",11 449,"54,4",21 057,100
45 NAAMA,2 969,"43,1",236,"3,4",2,"0,0",152,"2,2",3 530,"51,2",6 888,100
46 A.TEMOUCHENT,4 868,"44,0",0,"0,0",393,"3,6",610,"5,5",5 196,"46,9",11 067,100
47 GHARDAIA,1 394,"9,4",11 009,"74,2",1 137,"7,7",220,"1,5",1 083,"7,3",14 843,100
48 RELIZANE,11 501,"56,0",0,"0,0",4 686,"22,8",582,"2,8",3 756,"18,3",20 524,100
TOTAL ALGERIE,423 683,"44,9",167 279,"17,7",65 974,"7,0",42 620,"4,5",243 613,"25,8",943 169,100
,,,,,,Cultures permanentes : palmiers dattiers,,,,,55,
